
UniqueId,FromPaperId,CitedPaperId,TimeStamp
20170810034636-001-01-4,2165467455,2114507260,2017-08-10 15:47:17
20170810034636-001-01-6,2165467455,1591745554,2017-08-10 15:47:17
20170810034636-001-01-8,2165467455,2151020819,2017-08-10 15:47:17
20170810034636-001-01-10,2165467455,2099213660,2017-08-10 15:47:17
20170810034636-001-01-12,2165467455,1997020216,2017-08-10 15:47:17
20170810034636-001-01-14,2165467455,2069433961,2017-08-10 15:47:17
20170810034636-001-01-16,2165467455,2169571673,2017-08-10 15:47:17
20170810034636-001-01-18,2165467455,2160567428,2017-08-10 15:47:17
20170810034636-001-01-20,2165467455,2093454802,2017-08-10 15:47:17
20170810034636-001-01-22,2165467455,1553701556,2017-08-10 15:47:17
20170810034636-001-01-24,2165467455,2151461605,2017-08-10 15:47:17
20170810034636-001-01-26,2165467455,2133338501,2017-08-10 15:47:17
20170810034636-001-01-28,2165467455,1508638970,2017-08-10 15:47:17
20170810034636-001-01-30,2165467455,2097164499,2017-08-10 15:47:17
20170810034636-001-01-32,2165467455,2165768634,2017-08-10 15:47:17
20170810034636-001-01-34,2165467455,2016733481,2017-08-10 15:47:17
20170810034636-001-01-36,2165467455,2004276548,2017-08-10 15:47:17
20170810034636-001-01-38,2165467455,2116200341,2017-08-10 15:47:17
20170810034636-001-01-40,2165467455,2504426391,2017-08-10 15:47:17
20170810034636-001-01-42,2165467455,2153926311,2017-08-10 15:47:17
20170810034636-001-01-44,2165467455,2015911750,2017-08-10 15:47:17
20170810034636-001-01-46,2165467455,2126717690,2017-08-10 15:47:17
20170810034636-001-01-48,2165467455,1965563707,2017-08-10 15:47:17
20170810034636-001-01-50,2165467455,2159104891,2017-08-10 15:47:17
20170810034636-001-01-52,2165467455,2145618437,2017-08-10 15:47:17
20170810034636-001-01-54,2165467455,192407326,2017-08-10 15:47:17
20170810034636-001-01-56,2165467455,2151580670,2017-08-10 15:47:17
20170810034636-001-01-58,2165467455,1966470704,2017-08-10 15:47:17
