
TimeStamp,Operation,Subject,Target,Details
20170810034636-001-01-1,CREATE,PAPERS,20170810034636-001-01-0,{"expr":"And(And(Ti='a relational model of data for large shared data banks',Composite(AA.AuN=='e f codd')),Y=1970)","entities":[{"logprob":-17.679,"Id":2165467455,"Ti":"a relational model of data for large shared data banks","Y":1970,"CC":4839,"RId":[1984820433,2104880663,2088549934,2022843269,2044618373,14947753],"AA":[{"AuN":"e f codd","AuId":1972300922}]}]}
20170810034636-001-01-3,CREATE,AUTHORS,20170810034636-001-01-2,{"logprob":-17.679,"Id":2165467455,"Ti":"a relational model of data for large shared data banks","Y":1970,"CC":4839,"RId":[1984820433,2104880663,2088549934,2022843269,2044618373,14947753],"AA":[{"AuN":"e f codd","AuId":1972300922}]}
20170810034636-001-01-5,CREATE,CITED_BY,20170810034636-001-01-4,{"logprob":-16.628,"Id":2114507260}
20170810034636-001-01-7,CREATE,CITED_BY,20170810034636-001-01-6,{"logprob":-16.901,"Id":1591745554}
20170810034636-001-01-9,CREATE,CITED_BY,20170810034636-001-01-8,{"logprob":-17.064,"Id":2151020819}
20170810034636-001-01-11,CREATE,CITED_BY,20170810034636-001-01-10,{"logprob":-17.101,"Id":2099213660}
20170810034636-001-01-13,CREATE,CITED_BY,20170810034636-001-01-12,{"logprob":-17.278,"Id":1997020216}
20170810034636-001-01-15,CREATE,CITED_BY,20170810034636-001-01-14,{"logprob":-17.292,"Id":2069433961}
20170810034636-001-01-17,CREATE,CITED_BY,20170810034636-001-01-16,{"logprob":-17.334,"Id":2169571673}
20170810034636-001-01-19,CREATE,CITED_BY,20170810034636-001-01-18,{"logprob":-17.339,"Id":2160567428}
20170810034636-001-01-21,CREATE,CITED_BY,20170810034636-001-01-20,{"logprob":-17.351,"Id":2093454802}
20170810034636-001-01-23,CREATE,CITED_BY,20170810034636-001-01-22,{"logprob":-17.409,"Id":1553701556}
20170810034636-001-01-25,CREATE,CITED_BY,20170810034636-001-01-24,{"logprob":-17.419,"Id":2151461605}
20170810034636-001-01-27,CREATE,CITED_BY,20170810034636-001-01-26,{"logprob":-17.433,"Id":2133338501}
20170810034636-001-01-29,CREATE,CITED_BY,20170810034636-001-01-28,{"logprob":-17.529,"Id":1508638970}
20170810034636-001-01-31,CREATE,CITED_BY,20170810034636-001-01-30,{"logprob":-17.732,"Id":2097164499}
20170810034636-001-01-33,CREATE,CITED_BY,20170810034636-001-01-32,{"logprob":-17.738,"Id":2165768634}
20170810034636-001-01-35,CREATE,CITED_BY,20170810034636-001-01-34,{"logprob":-17.746,"Id":2016733481}
20170810034636-001-01-37,CREATE,CITED_BY,20170810034636-001-01-36,{"logprob":-17.765,"Id":2004276548}
20170810034636-001-01-39,CREATE,CITED_BY,20170810034636-001-01-38,{"logprob":-17.771,"Id":2116200341}
20170810034636-001-01-41,CREATE,CITED_BY,20170810034636-001-01-40,{"logprob":-17.795,"Id":2504426391}
20170810034636-001-01-43,CREATE,CITED_BY,20170810034636-001-01-42,{"logprob":-17.806,"Id":2153926311}
20170810034636-001-01-45,CREATE,CITED_BY,20170810034636-001-01-44,{"logprob":-17.849,"Id":2015911750}
20170810034636-001-01-47,CREATE,CITED_BY,20170810034636-001-01-46,{"logprob":-17.961,"Id":2126717690}
20170810034636-001-01-49,CREATE,CITED_BY,20170810034636-001-01-48,{"logprob":-18.056,"Id":1965563707}
20170810034636-001-01-51,CREATE,CITED_BY,20170810034636-001-01-50,{"logprob":-18.078,"Id":2159104891}
20170810034636-001-01-53,CREATE,CITED_BY,20170810034636-001-01-52,{"logprob":-18.112,"Id":2145618437}
20170810034636-001-01-55,CREATE,CITED_BY,20170810034636-001-01-54,{"logprob":-18.121,"Id":192407326}
20170810034636-001-01-57,CREATE,CITED_BY,20170810034636-001-01-56,{"logprob":-18.158,"Id":2151580670}
20170810034636-001-01-59,CREATE,CITED_BY,20170810034636-001-01-58,{"logprob":-18.177,"Id":1966470704}
20170810034636-001-01-61,CREATE,CITED_BY,20170810034636-001-01-60,{"logprob":-18.196,"Id":1991199257}
20170810034636-001-01-63,CREATE,CITED_BY,20170810034636-001-01-62,{"logprob":-18.209,"Id":2162653998}
20170810034636-001-01-65,CREATE,CITED_BY,20170810034636-001-01-64,{"logprob":-18.261,"Id":2152891152}
